NEIGHBORHOOD,BOROUGH,BLOCK,LOT,MULTI-LOT,DATE,PRICE,LOT AREA,LOT FRONTAGE,LOT TYPE,ZONING 1,ZONING 2,OVERLAY 1,OVERLAY 2,SPECIAL DISTRICT,MIH/VIH,BASE FAR,BASE ZFA,PPZFA,Date,Rate
Ozone Park,Queens,11562,"157, 156, 155, 154, 153, 152",Yes,2024-04-30,2535000,21148,361.69,Interior,R3X,,,,,,0.5,10574,284,2024-04-30,5.25
Williamsburg,Brooklyn,2387,29,No,2024-04-30,3000000,1781,18.75,Interior,M1-2/R6A ,,,,MX-8,VIH,2.7,4809,527,2024-04-30,5.25
Kingsbridge Heights,The Bronx,3253,"86, 85",Yes,2024-04-29,2700000,12940,105.17,Interior,R6,,,,,,2.2,30783,88,2024-04-29,5.25
Murray Hill,Queens,5014,40,No,2024-04-29,7900000,10650,249.0,Corner,R6 ,,C1-2,,,,3.0,31950,247,2024-04-29,5.25
East Harlem,Manhattan,1645,"35, 32",Yes,2024-04-25,7000000,7964,66.67,Interior,C4-6 ,,R7A,,EHC,MIH,,57609,95,2024-04-25,5.25
Norwood,The Bronx,3331,57,No,2024-04-25,13000000,15000,125.0,Interior,R7D ,C2-4,,,,VIH,4.2,63000,111,2024-04-25,5.25
Red Hook,Brooklyn,574,"1, 23, 24",Yes,2024-04-25,35139256,80000,1100.0,Corner,M2-1,,,,,,2.0,300000,117,2024-04-25,5.25
Claremont,The Bronx,2930,"39, 26",Yes,2024-04-25,5500000,52956,737.93,Corner,M1-4,,,,,,2.0,105912,123,2024-04-25,5.25
Greenpoint,Brooklyn,2698,32,No,2024-04-24,7229250,10376,97.75,Interior,M1-2 ,,R6B,R6A,MX-8,VIH,2.0,20752,348,2024-04-24,5.25
Williamsburg,Brooklyn,2393,"29,30,31,32,33,34,35",Yes,2024-04-23,6500000,8881,203.0,Corner,R6B,,,,,VIH,2.0,17762,366,2024-04-23,5.25
Crown Heights,Brooklyn,1192,"40,41,46",Yes,2024-04-22,1625000,68258,522.25,Corner,R6A,,,,,,3.0,204707,313,2024-04-22,5.25
Fort Greene,Brooklyn,2044,71,No,2024-04-22,64000000,2500,25.0,Interior,R6B,,,,,,2.0,5000,325,2024-04-22,5.25
Melrose,The Bronx,2376,47,No,2024-04-18,3100000,7087,51.44,Corner,C4-4,,,,,,,27260,54,2024-04-18,5.25
Bedford-Stuyvesant,Brooklyn,1854,"41, 40, 38",Yes,2024-04-18,1400000,9089,202.58,Corner,R7D ,,C2-4,,,VIH,4.2,38174,144,2024-04-18,5.25
Bedford-Stuyvesant,Brooklyn,1768,28,No,2024-04-18,1475000,2000,20.0,Interior,R6B,,,,,,2.0,4000,350,2024-04-18,5.25
Williamsburg,Brooklyn,2224,"17, 18",Yes,2024-04-18,5500002,4000,40.0,Interior,R6,,,,,,2.2,8800,352,2024-04-18,5.25
